"Anio","Mes","Recuperados","Clase","Municipio"
2020,3,2,"Real","BELLO"
2020,3,1,"Real","ENVIGADO"
2020,3,1,"Real","ITAGUI"
2020,3,28,"Real","MEDELLIN"
2020,3,2,"Real","SABANETA"
2020,4,20,"Real","BELLO"
2020,4,3,"Real","CALDAS"
2020,4,2,"Real","COPACABANA"
2020,4,17,"Real","ENVIGADO"
2020,4,8,"Real","ITAGUI"
2020,4,5,"Real","LA ESTRELLA"
2020,4,113,"Real","MEDELLIN"
2020,4,5,"Real","SABANETA"
2020,5,1,"Real","BARBOSA"
2020,5,23,"Real","BELLO"
2020,5,8,"Real","COPACABANA"
2020,5,7,"Real","ENVIGADO"
2020,5,8,"Real","ITAGUI"
2020,5,4,"Real","LA ESTRELLA"
2020,5,177,"Real","MEDELLIN"
2020,5,3,"Real","SABANETA"
2020,6,5,"Real","BARBOSA"
2020,6,102,"Real","BELLO"
2020,6,5,"Real","CALDAS"
2020,6,20,"Real","COPACABANA"
2020,6,20,"Real","ENVIGADO"
2020,6,1,"Real","GIRARDOTA"
2020,6,42,"Real","ITAGUI"
2020,6,15,"Real","LA ESTRELLA"
2020,6,569,"Real","MEDELLIN"
2020,6,16,"Real","SABANETA"
2020,7,14,"Real","BARBOSA"
2020,7,582,"Real","BELLO"
2020,7,54,"Real","CALDAS"
2020,7,58,"Real","COPACABANA"
2020,7,182,"Real","ENVIGADO"
2020,7,24,"Real","GIRARDOTA"
2020,7,526,"Real","ITAGUI"
2020,7,80,"Real","LA ESTRELLA"
2020,7,4249,"Real","MEDELLIN"
2020,7,114,"Real","SABANETA"
2020,8,118,"Real","BARBOSA"
2020,8,4091,"Real","BELLO"
2020,8,602,"Real","CALDAS"
2020,8,643,"Real","COPACABANA"
2020,8,1528,"Real","ENVIGADO"
2020,8,218,"Real","GIRARDOTA"
2020,8,2630,"Real","ITAGUI"
2020,8,498,"Real","LA ESTRELLA"
2020,8,28208,"Real","MEDELLIN"
2020,8,788,"Real","SABANETA"
2020,9,184,"Real","BARBOSA"
2020,9,4169,"Real","BELLO"
2020,9,832,"Real","CALDAS"
2020,9,695,"Real","COPACABANA"
2020,9,1575,"Real","ENVIGADO"
2020,9,296,"Real","GIRARDOTA"
2020,9,2447,"Real","ITAGUI"
2020,9,504,"Real","LA ESTRELLA"
2020,9,25316,"Real","MEDELLIN"
2020,9,750,"Real","SABANETA"
2020,10,226,"Real","BARBOSA"
2020,10,4407,"Real","BELLO"
2020,10,1162,"Real","CALDAS"
2020,10,604,"Real","COPACABANA"
2020,10,2931,"Real","ENVIGADO"
2020,10,359,"Real","GIRARDOTA"
2020,10,2953,"Real","ITAGUI"
2020,10,599,"Real","LA ESTRELLA"
2020,10,27002,"Real","MEDELLIN"
2020,10,971,"Real","SABANETA"
2020,11,221,"Real","BARBOSA"
2020,11,3646,"Real","BELLO"
2020,11,1194,"Real","CALDAS"
2020,11,581,"Real","COPACABANA"
2020,11,2684,"Real","ENVIGADO"
2020,11,455,"Real","GIRARDOTA"
2020,11,2437,"Real","ITAGUI"
2020,11,599,"Real","LA ESTRELLA"
2020,11,24253,"Real","MEDELLIN"
2020,11,919,"Real","SABANETA"
2020,12,225,"Real","BARBOSA"
2020,12,3142,"Real","BELLO"
2020,12,955,"Real","CALDAS"
2020,12,809,"Real","COPACABANA"
2020,12,2566,"Real","ENVIGADO"
2020,12,315,"Real","GIRARDOTA"
2020,12,1965,"Real","ITAGUI"
2020,12,508,"Real","LA ESTRELLA"
2020,12,22730,"Real","MEDELLIN"
2020,12,967,"Real","SABANETA"
2021,1,167,"Real","BARBOSA"
2021,1,4583,"Real","BELLO"
2021,1,1307,"Real","CALDAS"
2021,1,671,"Real","COPACABANA"
2021,1,3440,"Real","ENVIGADO"
2021,1,343,"Real","GIRARDOTA"
2021,1,3337,"Real","ITAGUI"
2021,1,673,"Real","LA ESTRELLA"
2021,1,31972,"Real","MEDELLIN"
2021,1,1146,"Real","SABANETA"
2021,2,89,"Real","BARBOSA"
2021,2,2011,"Real","BELLO"
2021,2,504,"Real","CALDAS"
2021,2,248,"Real","COPACABANA"
2021,2,1371,"Real","ENVIGADO"
2021,2,185,"Real","GIRARDOTA"
2021,2,1415,"Real","ITAGUI"
2021,2,269,"Real","LA ESTRELLA"
2021,2,17142,"Real","MEDELLIN"
